model,year,price,mileage,tax,mpg,engineSize,transmission_Automatic,transmission_Manual,transmission_Semi-Auto,fuelType_Diesel,fuelType_Hybrid,fuelType_Petrol,state_New,state_Used
1,2017,15495,12033.0,20,60.1,0,0,1,0,0,0,1,0,1
2,2017,21990,10488.0,145,65.7,5,1,0,0,1,0,0,0,1
6,2017,19499,8646.0,150,47.9,1,1,0,0,0,0,1,0,1
5,2018,19995,10450.0,145,65.7,3,0,0,1,1,0,0,0,1
5,2017,19995,29874.0,125,50.4,1,0,1,0,0,0,1,0,1
6,2017,23998,12147.0,145,40.4,5,0,0,1,0,0,1,0,1
3,2015,14500,56875.0,150,53.3,5,0,0,1,1,0,0,0,1
3,2016,17698,54770.0,145,56.5,5,0,1,0,1,0,0,0,1
1,2019,19599,8825.0,145,52.3,3,1,0,0,1,0,0,0,1
0,2019,18643,6000.0,145,48.7,0,0,1,0,0,0,1,0,1
6,2015,16498,14146.0,125,60.1,5,0,1,0,1,0,0,0,1
7,2018,27900,17289.0,150,55.4,5,0,0,1,1,0,0,0,1
4,2016,19444,52000.0,145,56.5,5,1,0,0,1,0,0,0,1
6,2017,18200,18476.0,145,47.9,1,0,0,1,0,0,1,0,1
3,2019,25016,0.0,145,70.6,5,1,0,0,1,0,0,1,0
1,2015,13240,54623.0,20,67.3,5,0,1,0,1,0,0,0,1
5,2018,18900,9215.0,150,52.3,1,0,1,0,0,0,1,0,1
7,2019,34452,6831.0,145,38.2,5,0,0,1,1,0,0,0,1
